Insert 	 213	 At node28	 TIME: 	108.60990823678804
Insert 	 213	 At node1	 TIME: 	108.87486619658272
Insert 	 186	 At node52	 TIME: 	109.07946956703084
Insert 	 197	 At node42	 TIME: 	112.16929125122408
Insert 	 186	 At node53	 TIME: 	112.86951018433611
Insert 	 203	 At node8	 TIME: 	114.42737519657095
Remove 	{61}	 At node2	 TIME: 	115.12120088782272
Remove 	{61}	 At node8	 TIME: 	115.15973772141754
Remove 	{61}	 At node35	 TIME: 	115.17383866971184
Remove 	{61}	 At node36	 TIME: 	115.1889242458408
Remove 	{61}	 At node7	 TIME: 	115.20178432687555
Remove 	{61}	 At node29	 TIME: 	115.21660659982682
Remove 	{61}	 At node14	 TIME: 	115.21936498899484
Remove 	{61}	 At node31	 TIME: 	115.23283414620154
Remove 	{61}	 At node33	 TIME: 	115.25443333423489
Remove 	{61}	 At node34	 TIME: 	115.25826904406998
Remove 	{61}	 At node27	 TIME: 	115.26527246274587
Remove 	{61}	 At node32	 TIME: 	115.26727836618839
Remove 	{61}	 At node30	 TIME: 	115.29725664108841
Remove 	{61}	 At node28	 TIME: 	115.2995990948239
Insert 	 192	 At node3	 TIME: 	115.60700007617233
Insert 	 192	 At node36	 TIME: 	115.92023516814464
Insert 	 203	 At node36	 TIME: 	115.99940506503869
Insert 	 192	 At node9	 TIME: 	116.46726073846568
Insert 	 188	 At node14	 TIME: 	116.65651087662528
Insert 	 291	 At node2	 TIME: 	117.10693332590091
Insert 	 188	 At node8	 TIME: 	117.49350556824828
Insert 	 192	 At node15	 TIME: 	117.53635469660703
Insert 	 213	 At node24	 TIME: 	117.59159163802248
Insert 	 203	 At node6	 TIME: 	117.68249867223746
Insert 	 192	 At node2	 TIME: 	118.20731070525295
Insert 	 186	 At node51	 TIME: 	118.26665630912665
Insert 	 192	 At node14	 TIME: 	119.42993419395354
Remove 	{81}	 At node8	 TIME: 	120.17018069482866
Remove 	{81}	 At node2	 TIME: 	120.17069055894909
Remove 	{81}	 At node35	 TIME: 	120.18070711976604
Remove 	{81}	 At node36	 TIME: 	120.19960621471742
Remove 	{81}	 At node14	 TIME: 	120.2532099653721
Remove 	{81}	 At node3	 TIME: 	120.26108084988282
Remove 	{81}	 At node3	 TIME: 	120.26545212702298
Remove 	{81}	 At node4	 TIME: 	120.32231966243144
Remove 	{81}	 At node9	 TIME: 	120.3279622519223
Remove 	{81}	 At node10	 TIME: 	120.33401246593037
Remove 	{81}	 At node2	 TIME: 	120.34007956336424
Remove 	{81}	 At node15	 TIME: 	120.34868946315176
Remove 	{81}	 At node16	 TIME: 	120.35134706012008
Remove 	{81}	 At node45	 TIME: 	120.35322122581806
Remove 	{81}	 At node41	 TIME: 	120.35556257029039
Remove 	{81}	 At node51	 TIME: 	120.358160981703
Remove 	{81}	 At node7	 TIME: 	120.36236681415924
Remove 	{81}	 At node53	 TIME: 	120.37228733177596
Remove 	{81}	 At node43	 TIME: 	120.3767147765276
Remove 	{81}	 At node27	 TIME: 	120.37749385297936
Remove 	{81}	 At node49	 TIME: 	120.38124955074615
Remove 	{81}	 At node14	 TIME: 	120.38178795765482
Remove 	{81}	 At node44	 TIME: 	120.38253513887899
Remove 	{81}	 At node33	 TIME: 	120.3864730756612
Remove 	{81}	 At node40	 TIME: 	120.38863904553918
Remove 	{81}	 At node12	 TIME: 	120.39868587728134
Remove 	{81}	 At node56	 TIME: 	120.40034126297634
Remove 	{81}	 At node37	 TIME: 	120.4005729488924
Remove 	{81}	 At node39	 TIME: 	120.40853346629972
Remove 	{81}	 At node42	 TIME: 	120.41306234905946
Remove 	{81}	 At node54	 TIME: 	120.41501690119296
Remove 	{81}	 At node29	 TIME: 	120.41506097694241
Remove 	{81}	 At node11	 TIME: 	120.41892796925406
Remove 	{81}	 At node28	 TIME: 	120.4198863129083
Remove 	{81}	 At node38	 TIME: 	120.42530126976965
Remove 	{81}	 At node47	 TIME: 	120.42566006801775
Remove 	{81}	 At node59	 TIME: 	120.43802076814265
Remove 	{81}	 At node46	 TIME: 	120.44078075826565
Remove 	{81}	 At node31	 TIME: 	120.44138291680444
